Año,Total,Variación interanual,Residencial,Variación interanual,Organizaciones,Variación interanual
2015,6603015,0,6085189,0,517826,0
2015,6604069,0,6085150,0,518919,0
2015,6627135,0,6104250,0,522885,0
2015,6648922,0,6119455,0,529467,0
2015,6681314,0,6148681,0,532633,0
2015,6736378,0,6200283,0,536095,0
2015,6775844,0,6235734,0,540110,0
2015,6802722,0,6259664,0,543058,0
2015,6839478,0,6293247,0,546231,0
2015,6872695,0,6323749,0,548946,0
2015,6886764,0,6335573,0,551191,0
2015,6906315,0,6354330,0,551985,0
2016,6956100,5.34732996971839,6387157,4.96234381545094,568943,9.87146261485519
2016,6962612,5.42912256065162,6394688,5.08677682555071,567924,9.44367039942651
2016,6979674,5.31962907048069,6412089,5.04302739894335,567585,8.54872486301959
2016,7019528,5.57392611915135,6430537,5.08349191226995,588991,11.2422492808806
2016,7050163,5.52060567726649,6459166,5.04961958507847,590997,10.9576387493828
2016,7076005,5.04168560612246,6484633,4.58608099017417,591372,10.3110456169149
2016,7088995,4.62157924533091,6496766,4.18606694897505,592229,9.64970098683602
2016,7116326,4.60997818226292,6524363,4.22864549918333,591963,9.00548376048232
2016,7147517,4.50383786598918,6555120,4.16117466865673,592397,8.45173562101016
2016,7162737,4.22020764780046,6564861,3.81280155173773,597876,8.91344503830977
2016,7152940,3.86503733829124,6560017,3.54259985639815,592923,7.57124118499758
2016,7134882,3.30953627223781,6545314,3.00557257806882,589568,6.80869951176209
2017,7128784,2.48248300053191,6548113,2.51999442005261,580671,2.06136642862292
2017,7134995,2.4758380906476,6540929,2.28691376342366,594066,4.60308069389566
2017,7140829,2.30891872600354,6547909,2.11818644438652,592920,4.46364861650679
2017,7169558,2.13732319324033,6575697,2.25735424584292,593861,0.82683776152777
2017,7171412,1.71980420878212,6584667,1.94299078240132,586745,-0.71946219693163
2017,7186456,1.56092314801926,6598563,1.75692286672198,587893,-0.588292986478905
2017,7184129,1.34199558611623,6601238,1.60806161096151,582891,-1.57675493770147
2017,7201826,1.20146266486387,6635179,1.69849531670754,566647,-4.27661864001635
2017,7265017,1.643927534555,6699802,2.20716020454242,565215,-4.5884769841846
2017,7298250,1.8919164559581,6732797,2.55810442901989,565453,-5.42303086258688
2017,7324569,2.3994189801676,6760207,3.05166892097992,564362,-4.8169829809267
2017,7353970,3.07066045380988,6789683,3.73349544422162,564287,-4.28805498263135
2018,7354525,3.16661298757263,6790450,3.70086771563045,564075,-2.8580728157597
2018,7370362,3.29876895498874,6808460,4.09010707806186,561902,-5.41421323556642
