,Año,Trimestre,Provincia,Accesos por cada 100 hab
206,2020,3,Neuquén,19
207,2020,3,Río Negro,18
208,2020,3,Salta,13
209,2020,3,San Juan,10
210,2020,3,San Luis,23
211,2020,3,Santa Cruz,11
212,2020,3,Santa Fe,23
213,2020,3,Santiago Del Estero,11
214,2020,3,Tierra Del Fuego,23
215,2020,3,Tucumán,13
216,2020,2,Buenos Aires,22
217,2020,2,Capital Federal,44
218,2020,2,Catamarca,12
219,2020,2,Chaco,11
220,2020,2,Chubut,18
221,2020,2,Córdoba,22
222,2020,2,Corrientes,11
223,2020,2,Entre Ríos,17
224,2020,2,Formosa,8
225,2020,2,Jujuy,12
226,2020,2,La Pampa,25
227,2020,2,La Rioja,13
228,2020,2,Mendoza,10
229,2020,2,Misiones,11
230,2020,2,Neuquén,19
231,2020,2,Río Negro,17
232,2020,2,Salta,12
233,2020,2,San Juan,9
234,2020,2,San Luis,22
235,2020,2,Santa Cruz,11
236,2020,2,Santa Fe,22
237,2020,2,Santiago Del Estero,11
238,2020,2,Tierra Del Fuego,23
239,2020,2,Tucumán,13
240,2020,1,Buenos Aires,21
241,2020,1,Capital Federal,44
242,2020,1,Catamarca,10
243,2020,1,Chaco,10
244,2020,1,Chubut,16
245,2020,1,Córdoba,22
246,2020,1,Corrientes,10
247,2020,1,Entre Ríos,17
248,2020,1,Formosa,8
249,2020,1,Jujuy,12
250,2020,1,La Pampa,25
251,2020,1,La Rioja,12
252,2020,1,Mendoza,9
253,2020,1,Misiones,11
254,2020,1,Neuquén,18
255,2020,1,Río Negro,17
256,2020,1,Salta,12
257,2020,1,San Juan,8
258,2020,1,San Luis,22
259,2020,1,Santa Cruz,11
260,2020,1,Santa Fe,22
261,2020,1,Santiago Del Estero,11
262,2020,1,Tierra Del Fuego,23
263,2020,1,Tucumán,12
264,2019,4,Buenos Aires,21
265,2019,4,Capital Federal,44
266,2019,4,Catamarca,9
267,2019,4,Chaco,10
268,2019,4,Chubut,16
269,2019,4,Córdoba,22
270,2019,4,Corrientes,10
271,2019,4,Entre Ríos,17
272,2019,4,Formosa,8
273,2019,4,Jujuy,12
274,2019,4,La Pampa,25
