,Unnamed: 0,Partido,Localidad,ADSL,Unnamed: 4,DIALUP,FIBRAOPTICA,4G,Unnamed: 8,TELEFONIAFIJA,Unnamed: 10,SATELITAL
1595,RIO NEGRO,,,--,--,,,--,SI,,,--
1596,RIO NEGRO,,Barrio Fátima,--,--,,--,--,--,,,--
1597,,General Roca,Barrio Frontera,--,,--,--,--,,--,SI,--
1598,RIO NEGRO,General Roca,Barrio Goretti,,--,--,--,,,--,--,
1599,,9 de Julio,Prahuaniyeu,,,--,--,,,SI,,SI
1600,,9 de Julio,Sierra Colorada,--,,--,SI,SI,,--,,SI
1601,RIO NEGRO,,,--,--,,,--,--,,SI,
1602,RIO NEGRO,,Yaminué,--,--,,--,--,--,,SI,--
1603,RIO NEGRO,,Bahía Creek,--,--,,--,--,--,,,--
1604,RIO NEGRO,Adolfo Alsina,,--,--,--,,SI,SI,SI,,--
1605,,Adolfo Alsina,El Juncal,,,--,--,--,,--,--,
1606,RIO NEGRO,Adolfo Alsina,Guardia Mitre,,--,--,--,,--,SI,SI,
1607,RIO NEGRO,Adolfo Alsina,,--,--,--,,--,--,--,,--
1608,RIO NEGRO,,,--,--,,,--,--,,--,--
1609,,Adolfo Alsina,Pozo Salado,--,,--,--,--,,--,--,
1610,,Adolfo Alsina,San Javier,,,--,--,,,SI,SI,SI
1611,RIO NEGRO,,Viedma,SI,SI,,SI,SI,SI,,,SI
1612,RIO NEGRO,,,--,--,,,--,--,,--,--
1613,RIO NEGRO,Avellaneda,,--,--,--,,--,--,--,--,--
1614,RIO NEGRO,,,--,--,,SI,SI,SI,,--,
1615,RIO NEGRO,Avellaneda,Choele Choel,,SI,SI,SI,,SI,SI,SI,SI
1616,,Rosario de la Frontera,El Potrero,--,,--,SI,--,,--,,SI
1617,RIO NEGRO,,,--,--,,,SI,SI,,SI,
1618,RIO NEGRO,Avellaneda,,--,--,--,,SI,--,--,SI,
1619,RIO NEGRO,,,--,SI,,,SI,SI,SI,,SI
1620,RIO NEGRO,,Luis Beltrán,--,SI,,SI,SI,SI,,SI,SI
1621,RIO NEGRO,Avellaneda,Pomona,,SI,--,--,,SI,--,SI,
1622,,Bariloche,Arelauquen,--,,--,--,SI,,--,--,--
1623,,Bariloche,Barrio El Pilar,,,--,--,,,--,--,--
1624,RIO NEGRO,Bariloche,Colonia Suiza,,--,--,--,,SI,--,,--
1625,RIO NEGRO,,,SI,SI,,,SI,SI,,SI,SI
1626,RIO NEGRO,Bariloche,,--,--,--,,SI,SI,--,--,
1627,RIO NEGRO,Bariloche,Mallín Ahogado,,--,--,--,,--,--,,--
1628,,Bariloche,Rio Villegas,--,,--,--,--,,SI,,SI
1629,RIO NEGRO,,Barrio Guerrico,SI,--,,SI,--,SI,,SI,
1630,RIO NEGRO,General Roca,,--,--,--,,--,--,,SI,
1631,,General Roca,Barrio La Barda,--,,--,--,--,,--,,--
1632,,General Roca,Barrio La Costa,,,--,--,,--,--,,--
1633,RIO NEGRO,General Roca,Barrio La Costa,,--,--,--,,--,--,SI,--
1634,,General Roca,Barrio La Defensa,,,--,--,,,--,SI,
1635,RIO NEGRO,General Roca,,--,--,--,,--,--,--,,--
1636,RIO NEGRO,,,--,--,,,SI,SI,,,--
1637,,General Roca,Barrio La Ribera - Barrio APYCAR,--,,--,--,,,--,SI,
1638,RIO NEGRO,General Roca,Barrio Las Angustias,,--,--,--,,SI,--,--,--
1639,,General Roca,Barrio Luisillo,--,,--,--,--,,--,,--
1640,,General Roca,Barrio Mar del Plata,,,--,--,,--,--,,--
1641,RIO NEGRO,,Barrio María Elvira,--,--,,--,SI,SI,,--,--
1642,RIO NEGRO,General Roca,,--,--,--,,--,--,,SI,
1643,RIO NEGRO,General Roca,,--,--,--,,SI,SI,SI,,--
1644,RIO NEGRO,,,--,--,,,--,--,,--,--
1645,RIO NEGRO,General Roca,Barrio Norte (municipio de Cipolletti),,--,--,--,,--,--,SI,
1646,,General Roca,Barrio Pinar,,,--,--,,,--,SI,
