,Provincia,Partido,Localidad,Link Indec,Otros,"0,256 mbps","0,375 mbps","0,5 mbps","0,512 mbps","0,625 mbps","0,75 mbps",1 mbps,"1,25 mbps","1,5 mbps",2 mbps,"2,2 mbps","2,5 mbps",3 mbps,"3,3 mbps","3,5 mbps",4 mbps,"4,5 mbps",5 mbps,6 mbps,"6,4 mbps",7 mbps,"7,5 mbps",8 mbps,9 mbps,10 mbps,11 mbps,12 mbps,13 mbps,14 mbps,15 mbps,16 mbps,17 mbps,18 mbps,19 mbps,20 mbps,21 mbps,22 mbps,23 mbps,24 mbps,25 mbps,"25,1 mbps","25,11 mbps","25,5 mbps",26 mbps,30 mbps,31 mbps,32 mbps,34 mbps,35 mbps,36 mbps,38 mbps,39 mbps,40 mbps,41 mbps,45 mbps,46 mbps,49 mbps,50 mbps,55 mbps,58 mbps,59 mbps,60 mbps,61 mbps,62 mbps,64 mbps,65 mbps,66 mbps,70 mbps,75 mbps,78 mbps,80 mbps,82 mbps,83 mbps,85 mbps,90 mbps,92 mbps,95 mbps,100 mbps
849,CHACO,San Fernando,Basail,22140020,1,,,1,,,,,,,,,,4,,,,,,82,,,,,1,118,,,,,5,,,,,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,CHACO,San Fernando,Fontana,22140040,,,,,,,,,,,,,,,,,,,65,,,,,,,13,,70,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,CHACO,San Fernando,Otros,Sin Datos,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,CHACO,San Fernando,Puerto Vilelas,22140050,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,CHACO,San Fernando,Resistencia,22140060,10,,,5,1.0,,,538,,,46,,,943,,2,,,697,"2,272",,10,,2,,"4,972",,257,,,544,,,177,,"2,350",,,,,563,,,,,"9,943",,,,,,,,,,,,,"40,112",,,,,,,,,,,,,,,,,,,,"24,051"
854,CHACO,San Lorenzo,Samuhú,22147010,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,CHACO,San Lorenzo,Villa Berthet,22147020,,,,1,,,,,,,,,,,,,,,32,352,,,,,,372,,,,,26,,,,,3,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
856,CHACO,Sargento Cabral,Capitán Solari,22154010,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,CHACO,Sargento Cabral,Colonia Elisa,22154020,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,CHACO,Sargento Cabral,Colonias Unidas,22154030,,,,,,,,,,,,,,,,,,,,,,15,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,CHACO,Sargento Cabral,Las Garcitas,22154050,,,,1,,,,,,,,,,,,,,,,,,49,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,CHACO,Tapenagá,Charadai,22161010,,,,1,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,CHUBUT,Biedma,Arroyo Verde,26007010,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,CHUBUT,Biedma,Puerto Madryn,26007020,"10,071",,,1,,,136,25,,,2,,,"2,135",,"1,433",1,,6,586,,32,,"1,270",,"5,383",,"1,058",,,"3,306",,,,,46,,,,"2,168","2,993",,,,,"2,488",,,,,,,,,,,,,"6,215",,,,,,,,,,,,,,,,,,,,268
863,CHUBUT,Biedma,Puerto Pirámide,26007030,,,,1,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,CHUBUT,Biedma,Quinta El Mirador,26007040,,,,,,,,,,,,,,14,,,,,,7,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,CHUBUT,Biedma,Reserva Area Protegida El Doradillo,26007050,,,,,,,,,,,,,,115,,,,,,11,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,CHUBUT,Cushamen,Cholila,26014020,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,CHUBUT,Cushamen,El Hoyo,26014040,,,,,,,,184,,,231,,,466,,,16,,,297,,,,,,,,30,,,,,,,,14,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
868,CHUBUT,Cushamen,El Maitén,26014050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
869,CHUBUT,Cushamen,Epuyén,26014060,,,,,,,,,,,,,,,,,,,,,,,,,,"1,184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,CHUBUT,Cushamen,Gualjaina,26014070,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,CHUBUT,Cushamen,Lago Puelo,26014090,95,,,,,,4,120,,,96,,,369,,137,12,,,68,,,,38,,,,8,,,147,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
872,CHUBUT,Cushamen,Leleque,26014100,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,CHUBUT,Escalante,Acceso Norte,26021020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,CHUBUT,Escalante,Barrio Caleta Cordova,26021020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,CHUBUT,Escalante,Comodoro Rivadavia,26021030,688,,,10,30.0,,468,83,,,914,,,"1,025",,"4,893","3,005",,33,"11,838",,95,,"5,601",209,429,,"10,135",,,"6,301",,,,,417,,,,213,930,,,,,"2,370",,,,,,,,1,,,,,"1,160",,,,,,,,,,,,,,,,,,,,29
876,CHUBUT,Escalante,Diadema Argentina,26021040,,,,,,,,,,,37,,,11,,,,,,128,,,,,,,,,,,7,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877,CHUBUT,Escalante,Rada Tilly,26021050,1,,,,,,18,13,,,9,,,44,,198,,,,189,,,,459,,"1,095",,,,,545,,,,,,,,,,121,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,CHUBUT,Florentino Ameghino,Camarones,26028010,,,,1,,,,11,,,,,,192,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,CHUBUT,Florentino Ameghino,Garayalde,26028020,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,CHUBUT,Futaleufú,Aldea Escolar,26035010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,CHUBUT,Futaleufú,Corcovado,26035020,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,CHUBUT,Futaleufú,Esquel,26035030,,4.0,,2,,,42,,,,"1,899",,,28,,"1,186","1,780",,,"1,491",,,,"1,756",,278,,,,,"1,162",,,,,,,,,,30,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,CHUBUT,Futaleufú,Lago Rosario,26035040,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,CHUBUT,Futaleufú,Los Cipreses,26035050,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,CHUBUT,Futaleufú,Trevelín,26035060,,1.0,,1,,,12,,,,,,,51,,103,183,,,182,,,,182,,58,,,,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,CHUBUT,Futaleufú,Villa Futalaufquen,26035070,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,CHUBUT,Gaiman,28 de Julio,26042040,,,,1,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,CHUBUT,Gaiman,Dolavon,26042020,50,,,1,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,CHUBUT,Gaiman,Gaiman,26042030,100,,,2,,,9,,,,,,,,,51,,,,,,,,74,,90,,,,,403,,,,,1,,,,,,,,,,143,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,3
890,CHUBUT,Gaiman,Otros,Sin Datos,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,CHUBUT,Gastre,Blancuntre,26049010,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,CHUBUT,Gastre,El Escorial,26049020,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,CHUBUT,Gastre,Gastre,26049030,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,CHUBUT,Gastre,Lagunita Salada,26049040,,,,1,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,CHUBUT,Gastre,Yala Laubat,26049050,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,CHUBUT,Languiñeo,Aldea Epulef,26056010,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,CHUBUT,Languiñeo,Carrenleufú,26056020,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,CHUBUT,Languiñeo,Colan Conhue,26056030,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,CHUBUT,Languiñeo,Paso del Sapo,26056040,1,,,1,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,CHUBUT,Languiñeo,Tecka,26056050,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,CHUBUT,Mártires,El Mirasol,26063010,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,CHUBUT,Mártires,Las Plumas,26063020,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,CHUBUT,OTROS,Otros,Sin Datos,"4,973",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,CHUBUT,Paso de Indios,Cerro Cóndor,26070010,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,CHUBUT,Paso de Indios,Los Altares,26070020,1,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,CHUBUT,Paso de Indios,Paso de Indios,26070030,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,CHUBUT,Rawson,Playa Magagna,26077010,,,,,,,,,,,,,,3,,,,,"1,700",,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,CHUBUT,Rawson,Playa Unión,26077020,30,,,,,,2,7,,,5,,,88,,107,27,,,258,,,,202,,107,,1,,,417,,,,,,,,,,1,,,,,70,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,
909,CHUBUT,Rawson,Rawson,26077030,"3,540",,,1,,,25,2,,,47,,,377,,566,57,,,100,,,,682,,"1,181",1.0,13,,,"1,730",,,,,91,,,,,28,,,,,"1,817",,,,,,,,,,,,,"1,987",,,,,,,,,,,,,,,,,,,,
910,CHUBUT,Rawson,Trelew,26077040,442,3.0,,1,1.0,,120,22,,,520,,,100,,"2,767",129,,2,221,,10,,"2,311",,"7,767",,"3,773",,,"4,391",,,,,418,,,,191,30,,,,,"2,517",,,,,,,,1,,,,,"6,551",,,,,,,,,,,,,,,,,,,,125
911,CHUBUT,Río Senguer,Aldea Apeleg,26084010,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
