,Provincia,Partido,Localidad,Link Indec,Otros,"0,256 mbps","0,375 mbps","0,5 mbps","0,512 mbps","0,625 mbps","0,75 mbps",1 mbps,"1,25 mbps","1,5 mbps",2 mbps,"2,2 mbps","2,5 mbps",3 mbps,"3,3 mbps","3,5 mbps",4 mbps,"4,5 mbps",5 mbps,6 mbps,"6,4 mbps",7 mbps,"7,5 mbps",8 mbps,9 mbps,10 mbps,11 mbps,12 mbps,13 mbps,14 mbps,15 mbps,16 mbps,17 mbps,18 mbps,19 mbps,20 mbps,21 mbps,22 mbps,23 mbps,24 mbps,25 mbps,"25,1 mbps","25,11 mbps","25,5 mbps",26 mbps,30 mbps,31 mbps,32 mbps,34 mbps,35 mbps,36 mbps,38 mbps,39 mbps,40 mbps,41 mbps,45 mbps,46 mbps,49 mbps,50 mbps,55 mbps,58 mbps,59 mbps,60 mbps,61 mbps,62 mbps,64 mbps,65 mbps,66 mbps,70 mbps,75 mbps,78 mbps,80 mbps,82 mbps,83 mbps,85 mbps,90 mbps,92 mbps,95 mbps,100 mbps
0,BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,,,,2,,,19,,,,,,,85,,145,,,,173,,,,299,,144,,"4,134",,,415,,,,,604,,,,,211,,,,,59,,,,,,,,37,,,,,,,,,,,,,,,,,,9.0,,,,,,,
1,BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,,,,,,,,,,,,,,,,,,,,45,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BUENOS AIRES,25 de Mayo,Del Valle,6854020,,,,1,,,,,,,,,,181,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BUENOS AIRES,25 de Mayo,Ernestina,6854030,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,,,,,,,,,,,106,,,3,,,56,,7,3,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
5,BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,,,,,,,,,,,161,,,38,,,15,,15,876,,,,,,1,,,,,141,,,,,,,,,,34,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
7,BUENOS AIRES,25 de Mayo,Pedernales,6854070,,,,,,,,,,,,,,395,,,173,,,2,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BUENOS AIRES,25 de Mayo,San Enrique,6854080,,,,,,,,,,,,,,,,,,,,85,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BUENOS AIRES,25 de Mayo,Valdés,6854090,,,,,,,,,,,,,,,,,,,,33,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BUENOS AIRES,9 de Julio,12 de Octubre,6588030,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,BUENOS AIRES,9 de Julio,9 de Julio,6588100,1,,,,,,9,,,,,,,198,,114,,,154,"4,942",,235,,98,,"2,652",,55,,,"1,094",,,3,,"1,008",,,,,131,,,,,311,,,,,,,,,,,,,"1,816",,,,,,,,,,,,,,,,,,,,"1,343"
12,BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,,,,,,,,,,,,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,BUENOS AIRES,9 de Julio,Dudignac,6588040,,,,,,,,8,,,,,,25,,,247,,,46,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,,,,,,,,1,,,199,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BUENOS AIRES,9 de Julio,Patricios,6588110,,,,,,,,,,,,,,,,,,,,16,,,,,,41,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,,,,,,,,,,,,,,42,,,,,,20,,,,,,33,,,,,1,,,,,25,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,BUENOS AIRES,Adolfo Alsina,Carhué,6007010,,,,,,,,,,,,,,793,,20,,,,,,103,,36,,,,,,,"1,231",,,,,,,,,,,,,,,1,266.0,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,3
18,BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,,,,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,BUENOS AIRES,Adolfo Alsina,Maza,6007070,10,,,2,,,,,,,,,,,,,,,386,,,,,,,6,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,BUENOS AIRES,Adolfo Alsina,Rivera,6007080,,,,,,,,,,,,,,,,,,,,,,,,,,"1,155",,,,,,,,,,23,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,,,,,,,3,,,,,,,,,147,,,,,,,,447,,122,,1,,,"1,045",,,,,,,,,,,,,,,44,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
23,BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,,,,,,,,,,,,,,,,,661,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,,,,,,,,,,,,,,12,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,,,,,,,2,,,,4,,,,,40,,,7,,,,,116,,10,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
27,BUENOS AIRES,Alberti,Mechita,6021030,,,,,,,,,,,,,,275,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,BUENOS AIRES,Almirante Brown,Adrogué,6028010,,1.0,,10,1.0,,34,24,,,8,,,2,,63,7,,4,14,,,,37,,405,,30,,,135,,,126,,7,,,,,209,,,,,"11,557",,,,,,,,,,,,,"2,602",,,,824,,,,,,,235,,,,,,,,,"3,360"
29,BUENOS AIRES,Almirante Brown,Burzaco,6028010,50,1.0,,9,1.0,,23,29,,,77,,,17,,34,115,,15,88,,,,30,,"1,146",,8,,,60,,,25,,3,,,,,167,,,,,"11,397",,,,,,,,,,,,,"1,612",,,,"3,708",,,,,,,885,,,,,,,,,"5,258"
30,BUENOS AIRES,Almirante Brown,Claypole,6028010,,,,,,,2,7,,,,,,2,,3,,,2,47,,,,,,467,,3,,,1,,,9,,16,,,,,63,,,,,"4,114",,,,,,,,,,,,,452,,,,"2,090",,,,,,,459,,,,,,,,,"2,381"
31,BUENOS AIRES,Almirante Brown,Don Orione,6028010,,,,,,,,,,,,,,,,,,,1,,,,,,,412,,,,,,,,,,,,,,,32,,,,,3,,,,,,,,,,,,,17,,,,"1,828",,,,,,,420,,,,,,,,,"1,166"
32,BUENOS AIRES,Almirante Brown,Glew,6028010,1,,,5,,,7,5,,,15,,,5,,27,29,,2,12,,,,16,,336,,6,,,8,,,9,,,,,,,106,,,,,"11,737",,,,,,,,,,,,,646,,,,"2,731",,,,,,,752,,,,,,,,,"1,520"
33,BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,,,,,,,,1,,,,,,,,2,,,1,18,,,,3,,471,,5,,,,,,32,,16,,,,,77,,,,,"1,383",,,,,,,,,,,,,982,,,,"1,425",,,,,,,355,,,,,,,,,"2,432"
34,BUENOS AIRES,Almirante Brown,Longchamps,6028010,1,,,1,,,3,,,,,,,3,,21,,,5,1,,,,4,,639,,12,,,4,,,12,,1,,,,,88,,,,,"7,433",,,,,,,,,,,,,973,,,,"2,346",,,,,,,654,,,,,,,,,"2,863"
35,BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,1,,,,,,,3,,,,,,,,,,,1,42,,,,,,149,,3,,,,,,4,,3,,,,,29,,,,,6,,,,,,,,,,,,,373,,,,"1,501",,,,,,,323,,,,,,,,,"1,729"
36,BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,,,,,,,,,,,,,,,,2,,,2,,,,,,,298,,,,,,,,,,,,,,,13,,,,,"4,094",,,,,,,,,,,,,59,,,,"1,261",,,,,,,267,,,,,,,,,820
37,BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,,,,3,,,10,29,,,,,,99,,18,339,,9,60,,,,3,,691,,2,,,9,,,1,,,,,,,59,,,,,"9,970",,,,,,,,,,,,,746,,,,"2,788",,,,,,,650,,,,,,,,,"3,221"
38,BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,1,,,1,,,4,9,,,,,,40,,21,,,,118,,,,,,129,,,,,1,,,1,,16,,,,,8,,,,,"3,236",,,,,,,,,,,,,76,,,,"1,387",,,,,,,284,,,,,,,,,"1,278"
39,BUENOS AIRES,Almirante Brown,San Jose,6028010,,,,3,,,1,,,,,,,,,2,,,4,124,,,,,,515,,1,,,,,,2,,58,,,,,32,,,,,4,,,,,,,,,,,,,294,,,,"3,134",,,,,,,686,,,,,,,,,"2,341"
40,BUENOS AIRES,AMBA,Otros,Sin Datos,0,,,13,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,BUENOS AIRES,Arrecifes,Arrecifes,6077010,1,,,1,,,6,137,,,275,,,"1,011",,165,449,,,69,,,,285,,7,,,,,452,,,,,"3,372",,,,,5,,,,,3,,,,,,,,,,,,,"1,513",,,,,,,,,,,,,,,,,,,,567
42,BUENOS AIRES,Arrecifes,Todd,6077020,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,13
43,BUENOS AIRES,Arrecifes,Viña,6077030,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,BUENOS AIRES,Avellaneda,Avellaneda,6035010,24,,,8,5.0,,43,43,,,3,,,33,,288,,,10,43,,,,397,,314,,41,,,803,,,95,,79,,,,,147,,,,,"2,897",,,,,,,,,,,,,"4,442",,,,689,,,,,,,197,,,,,,,,,"4,193"
45,BUENOS AIRES,Avellaneda,Crucesita,6035010,,,,,,,1,1,,,,,,1,,6,,,4,17,,,,3,,189,,17,,,1,,,52,,29,,,,,96,,,,,12,,,,,,,,,,,,,"3,171",,,,484,,,,,,,130,,,,,,,,,"2,438"
46,BUENOS AIRES,Avellaneda,Dock Sud,6035010,2,,,1,,,5,6,,,,,,5,,,,,,281,,,,1,,61,,,,,,,,,,289,,,,23,2,,,,,4,,,,,,,,,,,,,"1,320",,,,194,,,,,,,57,,,,,,,,,615
47,BUENOS AIRES,Avellaneda,Gerli,6035010,,,,1,,,2,2,,,,,,,,1,,,,1,,,,,,453,,16,,,,,,23,,17,,,,,92,,,,,6,,,,,,,,,,,,,"4,408",,,,822,,,,,,,196,,,,,,,,,"3,060"
48,BUENOS AIRES,Avellaneda,Pineyro,6035010,1,,,4,,,2,6,,,2,,,1,,4,,,7,,,,,2,,323,,20,,,1,,,40,,14,,,,,102,,,,,16,,,,,,,,1,,,,,"2,796",,,,708,,,,,,,170,,,,,,,,,"2,824"
49,BUENOS AIRES,Avellaneda,Sarandí,6035010,4,,,12,1.0,,35,6,,,4,,,2,,215,,,13,30,,,,128,,491,,18,,,"1,604",,,119,,93,,,,,180,,,,,"3,401",,,,,,,,,,,,,"8,185",,,,"1,295",,,,,,,313,,,,,,,,,"5,422"
50,BUENOS AIRES,Avellaneda,Villa Domínico,6035010,,,,5,,,8,14,,,1,,,41,,2,,,5,153,,,,3,,499,,20,,,2,,,58,,79,,,,,141,,,,,12,,,,,,,,,,,,,"6,591",,,,"1,911",,,,,,,424,,,,,,,,,"4,075"
51,BUENOS AIRES,Avellaneda,Wilde,6035010,2,,,5,,,32,7,,,3,,,2,,116,,,8,7,,,,261,,690,,35,,,"1,663",,,99,,81,,,,,194,,,,,"3,081",,,,,,,,,,,,,"9,668",,,,"1,811",,,,,,,443,,,,,,,,,"6,528"
52,BUENOS AIRES,Ayacucho,Ayacucho,6042010,,,,,,,7,119,,,,,,,,109,,,,20,,,,752,,,,,,,"1,202",,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,BUENOS AIRES,Ayacucho,La Constancia,6042020,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,BUENOS AIRES,Ayacucho,Solanet,6042030,,,,,,,,17,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,BUENOS AIRES,Ayacucho,Udaquiola,6042040,,,,,1.0,,,31,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,BUENOS AIRES,Azul,Azul,6049020,14,,,9,,,55,171,,,819,,,3,,754,,,121,8,,,,951,,128,,112,,,684,,,186,,13,,,,,539,,,,,15,,,,,,,,2,,,,,"7,027",,,,,,,,,,,,,,,,,,,,"5,294"
57,BUENOS AIRES,Azul,Cacharí,6049030,,,,,,,,,,,458,,,,,,,,56,5,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,BUENOS AIRES,Azul,Chillar,6049040,,,,,1.0,,,,,,8,,,,,,545,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,BUENOS AIRES,Bahía Blanca,Bahía Blanca,6056010,19,2.0,,19,1.0,,184,150,,,83,,,362,,"1,714",200,,272,616,,7,,"2,856",1,301,3.0,255,2.0,3.0,"1,257",3,2.0,630,,45,1.0,,,,"1,333",,,,,"1,609",,,,,,,,,,,,,"50,431",,,59.0,,,,,,,,,,,,,,,,,"52,040"
60,BUENOS AIRES,Bahía Blanca,Cabildo,6056020,2,,,,,,,,,,,,,,,,9,,1,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,BUENOS AIRES,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),6056030,,,,,,,2,,,,,,,,,24,,,,20,,,,48,,2,,2,,,300,,,5,,3,,,,,27,,,,,1,,,,,,,,,,,,,767,,,,,,,,,,,,,,,,,,,,602
62,BUENOS AIRES,Bahía Blanca,Ingeniero White,6056020,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
63,BUENOS AIRES,Balcarce,Balcarce,6063010,10,,,,,,24,,,,98,,,,,310,,,,329,,,,795,,249,,52,,,611,,,28,,3,,,,,150,,,,,25,,,,,,,,,,,,,"7,423",,,,,,,,,,,,,,,,,,,,"3,230"
64,BUENOS AIRES,Balcarce,Los Pinos,6063020,5,,,,,,,,,,5,,,,,,,,,17,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,BUENOS AIRES,Balcarce,Napaleofú,6063030,,,,,,,,38,,,,,,23,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,BUENOS AIRES,Balcarce,Ramos Otero,6063040,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,BUENOS AIRES,Balcarce,San Agustín,6063050,24,,,,,,,,,,8,,,,,,,,,25,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,BUENOS AIRES,Balcarce,Villa Laguna La Brava,6063060,,,,,,,,,,,1,,,,,,,,,16,,,,,,13,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,BUENOS AIRES,Baradero,Baradero,6070010,,,,1,,,,53,,,,,,"1,035",,,,,1,663,,,,1,,833,,23,,,75,,,,,48,,,,,221,,,,,4,,,,,,,,,,,,,"4,229",,,,,,,,,,,,,,,,,,,,"2,176"
70,BUENOS AIRES,Baradero,Irineo Portela,6070020,1,,,,,,,,,,,,,76,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,BUENOS AIRES,Baradero,Santa Coloma,6070030,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,BUENOS AIRES,Baradero,Villa Alsina  (Est. Alsina),6070040,,,,,,,,,,,,,,153,,,,,,13,,,,,,92,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,BUENOS AIRES,Benito Juárez,Barker,6084010,1,,,1,,,,20,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,BUENOS AIRES,Benito Juárez,Benito Juárez  (Est. Juárez),6084020,4,,,1,,,,,,,,,,,,59,,,,,,,,428,,59,,1,,,914,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,BUENOS AIRES,Benito Juárez,López,6084030,,,,,,,,,,,,,,12,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,BUENOS AIRES,Benito Juárez,Villa Cacique  (Est. Alfredo Fortabat),6084050,,,,1,,,,50,,,43,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,BUENOS AIRES,Berazategui,Berazategui,6091010,8,,,11,,,22,26,,,2,,,6,,75,34,,5,33,,,,108,,693,,36,,,"1,422",,,75,,44,,,,,245,,,,,"6,362",,,,,,,,,,,,,"15,084",,,,"3,775",,,,,,,945,,,,,,,,,"10,267"
78,BUENOS AIRES,Berazategui,Berazategui Oeste,6091010,,,,11,,,3,,,,,,,,,2,,,,56,,,,,,22,,,,,2,,,,,101,,,,,,,,,,,,,,,,,,,,,,,"11,327",,,,22,,,,,,,6,,,,,,,,,"3,343"
79,BUENOS AIRES,Berazategui,Carlos Tomás Sourigues,6091010,,,,,,,,,,,,,,,,2,,,1,,,,,7,,39,,,,,8,,,,,,,,,,4,,,,,190,,,,,,,,,,,,,"1,069",,,,404,,,,,,,91,,,,,,,,,819
80,BUENOS AIRES,Berazategui,Centro Agrícola El Pato,6091010,,,,,,,,8,,,5,,,3,,,2,,"1,968",5,,,,,,74,,,,,17,,,,,,,,,,1,,,,,,,,,,,,,,,,,,15,,,,617,,,,,,,86,,,,,,,,,180
81,BUENOS AIRES,Berazategui,Guillermo E. Hudson,6091010,2,,,,,,4,1,,,1,,,2,,23,,,3,7,,,,31,,256,,5,,,29,,,22,,16,,,,,80,,,,,"2,354",,,,,,,,,,,,,"5,785",,,,"1,312",,,,,,,394,,,,,,,,,"3,477"
82,BUENOS AIRES,Berazategui,Juan María Gutierrez,6091010,,,,,,,10,7,,,3,,,35,,77,,,,15,,,,97,,41,,1,,,318,,,1,,38,,,,,19,,,,,2,,,,,,,,,,,,,"2,447",,,,465,,,,,,,72,,,,,,,,,"1,605"
83,BUENOS AIRES,Berazategui,Pereyra,6091010,,,,,,,,,,,,,,,,4,,,,,,,,2,,,,1,,,3,,,1,,,,,,,10,,,,,310,,,,,,,,,,,,,107,,,,1,,,,,,,,,,,,,,,,92
84,BUENOS AIRES,Berazategui,Plátanos,6091010,3,,,,,,,1,,,,,,,,,,,1,1,,,,,,59,,,,,,,,,,7,,,,,4,,,,,,,,,,,,,,,,,,"1,623",,,,591,,,,,,,157,,,,,,,,,"1,008"
85,BUENOS AIRES,Berazategui,Ranelagh,6091010,,,,1,,,7,4,,,,,,,,20,,,,48,,,,2,,111,,1,,,8,,,2,,41,,,,,24,,,,,"5,756",,,,,,,,,,,,,"1,336",,,,669,,,,,,,171,,,,,,,,,"1,347"
86,BUENOS AIRES,Berazategui,Villa España,6091010,,,,1,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,1,,1,,,,,11,,,,,,,,,,,,,,,,,,"1,542",,,,297,,,,,,,75,,,,,,,,,927
87,BUENOS AIRES,Berisso,Barrio El Carmen (Este),6098010,170,,,,,,,,,,,,,,,,,,,28,,,,9,,3,,,,,115,,,,,14,,,,,,,,,,20,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,15
88,BUENOS AIRES,Berisso,Berisso,6098010,2,,,8,,,131,3,,,,,,2,,"1,565",,,,291,,,,"1,351",,46,,161,,,"1,150",,,105,,29,,,,,"5,750",,,,,9,,,,,,,,,,,,,"6,193",,,,,,,,,,,,,,,,,,,,"5,402"
89,BUENOS AIRES,Berisso,Villa Arguello,6098010,172,,,,,,,,,,,,,,,,,,,28,,,,8,,2,,,,,115,,,,,14,,,,,,,,,,20,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,15
90,BUENOS AIRES,Berisso,Villa Nueva,6098010,172,,,,,,,,,,,,,,,,,,,28,,,,8,,2,,,,,115,,,,,14,,,,,,,,,,20,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,15
91,BUENOS AIRES,Berisso,Villa Progreso,6098010,167,,,,,,,,,,,,,,,,,,,28,,,,8,,2,,,,,116,,,,,15,,,,,,,,,,21,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,16
92,BUENOS AIRES,Bolívar,Hale,6105010,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,BUENOS AIRES,Bolívar,Otros,Sin Datos,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,BUENOS AIRES,Bolívar,Paula,6105040,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,BUENOS AIRES,Bolívar,Pirovano,6105050,50,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,BUENOS AIRES,Bolívar,San Carlos de Bolívar  (Est. Bolívar),6105060,,,,,,,13,,,,,,,,,347,,,3,3,,,,403,,28,,117,,,462,,,9,,3,,,,,181,,,,,,,,,,,,,,,,,,"3,437",,,,,,,,,,,,,,,,,,,,"1,260"
97,BUENOS AIRES,Bolívar,Urdampilleta,6105070,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,BUENOS AIRES,Bragado,Bragado,6112010,,,,,,,15,1,,,93,,,125,,141,,,,3,,,,232,,36,,127,,,293,,,3,,2,,,,,255,,,,,8,,,,,,,,,,,,,"2,282",,,,,,,,,,,,,,,,,,,,"1,445"
99,BUENOS AIRES,Bragado,Comodoro Py,6112020,,,,,,,,,,,,,,154,,,,,,44,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
100,BUENOS AIRES,Bragado,General O'Brien,6112030,,,,,,,,,,,321,,,,,,83,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,BUENOS AIRES,Bragado,Irala,6112040,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,BUENOS AIRES,Bragado,Mechita (Est. Mecha),6112070,,,,,,,,,,,,,,10,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,BUENOS AIRES,Bragado,Olascoaga,6112080,,,,,,,,,,,,,,21,,,,,,6,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,
104,BUENOS AIRES,Bragado,Warnes,6112090,,,,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,BUENOS AIRES,Brandsen,Coronel Brandsen,6119050,3,,,,,,7,5,,,27,,,46,,311,1,,149,,,,,580,,638,,,112.0,,"1,046",,,,,13,,,15.0,,1,,,,,3,,,,,,,,924,,,,,124,,,,,,,,,,92,,,,,,14.0,,,,319
106,BUENOS AIRES,Brandsen,Jeppener,6119070,7,,,,,,,23,,,45,,,44,,,,,378,,,,,69,,110,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,BUENOS AIRES,Campana,Alto Los Cardales,6126010,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
108,BUENOS AIRES,Campana,Barrio Los Pioneros,6126020,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
